Country,Jan,Feb,March,April,
Holy See,0,0,6,10,
Honduras,0,0,141,738,
Hungary,0,0,492,2727,
Iceland,0,1,1135,1797,
India,1,3,1397,33062,
Indonesia,0,0,1528,9771,
Iran,0,593,44605,93657,
Iraq,0,13,694,2003,
Ireland,0,1,3235,20253,
Israel,0,7,5358,15834,
Italy,2,1128,105792,203591,
Jamaica,0,0,36,396,
Japan,15,241,1953,13895,
Jordan,0,0,274,451,
Kazakhstan,0,0,343,3138,
Kenya,0,0,59,384,10765
Korea, South,11,3150,9786,
Kosovo,0,0,112,510,
Kuwait,0,45,289,3740,
Kyrgyzstan,0,0,107,729,
Laos,0,0,9,19,
Latvia,0,0,398,849,
Lebanon,0,4,470,721,
Liberia,0,0,3,141,
Libya,0,0,10,61,
Liechtenstein,0,0,68,82,
Lithuania,0,1,537,1375,
Luxembourg,0,1,2178,3769,
MS Zaandam,0,0,2,9,
Madagascar,0,0,57,128,
Malawi,0,0,0,36,
Malaysia,8,25,2766,5945,
Maldives,0,0,18,278,
Mali,0,0,28,482,
Malta,0,0,169,463,
Mauritania,0,0,6,8,
Mauritius,0,0,143,332,
Mexico,0,4,1215,17799,
Moldova,0,0,353,3771,
Monaco,0,1,52,95,
Mongolia,0,0,12,38,
Montenegro,0,0,109,322,
Morocco,0,0,617,4321,
Mozambique,0,0,8,76,
Namibia,0,0,11,16,
Nepal,1,1,5,57,
Netherlands,0,6,12667,38998,
New Zealand,0,1,647,1476,
Nicaragua,0,0,5,13,
Niger,0,0,27,713,
Nigeria,0,1,135,1728,
North Macedonia,0,1,329,1442,
Norway,0,15,4641,7710,
Oman,0,6,192,2274,
Pakistan,0,4,1938,15525,
Panama,0,0,1181,6378,
Papua New Guinea,0,0,1,8,
Paraguay,0,0,65,239,
Peru,0,0,1065,33931,
Philippines,1,3,2084,8212,
Poland,0,0,2311,12640,
Portugal,0,0,7443,24505,
Qatar,0,1,781,12564,
Romania,0,3,2245,11978,
Russia,2,2,2337,99399,
Rwanda,0,0,75,225,
Saint Kitts and Nevis,0,0,8,15,
Saint Lucia,0,0,13,17,
Saint Vincent and the Grenadines,0,0,1,16,
San Marino,0,1,236,563,
Sao Tome and Principe,0,0,0,8,
Saudi Arabia,0,0,1563,21402,
Senegal,0,0,175,882,
Serbia,0,0,900,6630,
Seychelles,0,0,10,11,
Sierra Leone,0,0,1,104,
Singapore,13,102,926,15641,
Slovakia,0,0,363,1391,
Slovenia,0,0,802,1418,
Somalia,0,0,5,582,
South Africa,0,0,1353,5350,
South Sudan,0,0,0,34,
Spain,0,45,95923,212917,
Sri Lanka,1,1,143,649,
Sudan,0,0,7,375,
Suriname,0,0,9,10,
Sweden,1,12,4435,20302,
Switzerland,0,18,16605,29407,
Syria,0,0,10,43,
Taiwan*,10,39,322,429,
Tanzania,0,0,19,480,
Thailand,19,42,1651,2947,
Timor-Leste,0,0,1,24,
Togo,0,0,34,109,
Trinidad and Tobago,0,0,87,116,
Tunisia,0,0,394,980,
Turkey,0,0,13531,117589,
US,7,68,188172,1039909,
Uganda,0,0,44,81,
Ukraine,0,0,645,9866,
United Arab Emirates,4,21,664,11929,
United Kingdom,2,23,25481,166441,
Uruguay,0,0,338,630,
Uzbekistan,0,0,172,2002,
Venezuela,0,0,135,331,
Vietnam,2,16,212,270,
West Bank and Gaza,0,0,119,344,
Western Sahara,0,0,0,6,
Yemen,0,0,0,6,
Zambia,0,0,35,97,
Zimbabwe,0,0,8,32,
